"規模
(ML)",7≦M,6≦M＜7,5≦M＜6,4≦M＜5,3≦M＜4,2≦M＜3,1≦M＜2,M＜1,"合   計
Total","有感次數
Number of Felt Events","顯著有
感次數
Number of Reported"
"83年
1994",0,4,37,245,2026,9957,5686,6,17961,1182,86
"84年
1995",0,1,25,216,1481,8276,4784,20,14803,1050,71
"85年
1996",1,2,19,222,1889,8749,6022,73,16977,675,42
"86年
1997",0,2,20,177,1290,7899,6156,105,15649,676,62
"87年
1998",0,1,20,145,1329,7647,5705,134,14981,742,57
"88年
1999",1,14,83,734,5127,26584,17011,374,49928,3233,314
"89年
2000",0,3,31,259,1819,12803,9314,93,24322,1467,266
"90年
2001",0,3,13,203,1450,7827,6692,56,16244,992,136
"91年
2002",0,6,30,244,1984,13298,12407,128,28097,1800,196
"92年
2003",0,2,24,220,1556,11464,11982,202,25450,1235,148
"93年
2004",1,3,15,176,1406,9196,10789,197,21783,781,113
"94年
2005",0,2,26,238,1487,9334,10527,479,22093,1105,167
"95年
2006",0,5,18,209,1582,8473,7574,198,18059,785,110
"96年
2007",0,2,16,149,1568,8065,6446,175,16421,583,91
"97年
2008",0,0,19,166,1513,8461,7870,376,18405,651,102
"98年
2009",0,4,21,184,1583,9220,9029,318,20359,795,154
"99年
2010",0,2,32,133,1253,8814,12496,543,23273,754,153
"100年
2011",0,0,15,147,1347,8505,11333,448,21795,776,172
"101年
2012",0,3,21,151,1106,7115,18782,4195,31373,1012,214
"102年
2013",0,4,19,152,1183,8458,27590,8104,45510,1272,166
"103年
2014",0,1,22,138,1068,7478,21309,6747,36763,975,154
"104年
2015",0,4,26,208,1386,9670,26095,7448,44837,1013,100
"105年
2016",0,4,27,172,1376,8735,28716,9885,48915,1583,112
"106年
2017",0,1,19,127,1122,7370,19355,6611,34605,795,60
